
Her Eta,4.375962,0.679321,3.53
Peg Theta,5.804092,0.108172,3.53
Ser Mu,4.143499,-0.059870,3.53
Tau Epsilon,1.172061,0.334759,3.53
Eri Delta,0.974105,-0.170402,3.54
Hya Xi,3.023790,-0.556023,3.54
Ori Lambda,1.462317,0.173384,3.54
Ser Xi,4.614592,-0.268756,3.54
Vel Phi,2.604308,-0.952387,3.54
Lep Zeta,1.513877,-0.258692,3.55
Lup Iota,3.749854,-0.803860,3.55
Cet Iota,0.084772,-0.154006,3.56
Crt Delta,2.964187,-0.257935,3.56
Eri Phi,0.595637,-0.899058,3.56
Eri Upsilon4,1.125279,-0.589892,3.56
Lup Phi1,4.022140,-0.632881,3.56
Pav Delta,5.274065,-1.155093,3.56
And 51,0.427577,0.848725,3.57
Cap Alpha2,5.314768,-0.218947,3.57
Dra Chi,4.804266,1.269426,3.57
Gem Kappa,2.026531,0.425826,3.57
Sco Mu2,4.417145,-0.663531,3.57
Boo Rho,3.804076,0.530081,3.58
Gem Lambda,1.911543,0.288682,3.58
Lib Upsilon,4.088543,-0.491048,3.58
Cru Epsilon,3.234793,-1.054198,3.59
Cet Theta,0.366621,-0.142826,3.6
Gem Theta,1.801129,0.592733,3.6
Lep Gamma,1.503005,-0.391797,3.6
Ori Tau,1.385821,-0.119458,3.6
Tau Omicron,0.893667,0.157584,3.6
UMa Kappa,2.372012,0.823039,3.6
Vel Psi,2.490149,-0.706277,3.6
Hya Lambda,2.664194,-0.215621,3.61
Vir Beta,3.100992,0.030800,3.61
And Omicron,6.029771,0.738730,3.62
Ara Delta,4.586282,-1.059134,3.62
Mus Delta,3.413297,-1.248764,3.62
Pav Eta,4.650139,-1.129645,3.62
Psc Eta,0.399171,0.267835,3.62
Sco Zeta2,4.426955,-0.739346,3.62
Ari 41,0.741692,0.475786,3.63
Del Beta,5.399831,0.254736,3.63
Tau 27,0.999906,0.419810,3.63
Mus Lambda,3.078790,-1.164634,3.64
Dra Alpha,3.684339,1.123570,3.65
Ind Beta,5.475141,-1.020218,3.65
Tau Gamma,1.133562,0.272751,3.65
Vir Gamma,3.323369,-0.025298,3.65
Aqr 88,6.062605,-0.369530,3.66
Ara Theta,4.741325,-0.874265,3.66
Cas Zeta,0.161319,0.940679,3.66
Lib Tau,4.095662,-0.519720,3.66
Ser Beta,4.128525,0.269164,3.67
UMa 23,2.493763,1.100639,3.67
Cap Gamma,5.672720,-0.290811,3.68
CrB Beta,4.048415,0.507993,3.68
Pyx Alpha,2.284600,-0.579212,3.68
Vir Gamma,3.323369,-0.025298,3.68
Eri Tau4,0.870556,-0.379745,3.69
Ori Pi4,1.270629,0.097826,3.69
Psc Gamma,6.096282,0.057286,3.69
Eri Chi,0.505964,-0.900745,3.7
Her Xi,4.702637,0.510470,3.7
Tau 17,0.981202,0.420857,3.7
Aql Beta,5.215538,0.111817,3.71
Lep Eta,1.555110,-0.247274,3.71
Ser Epsilon,4.148720,0.078152,3.71
UMa Chi,3.080724,0.833909,3.71
Aur Delta,1.568731,0.947447,3.72
Cyg Tau,5.562328,0.664020,3.72
Cyg Xi,5.519306,0.766684,3.72
Ori Pi5,1.283915,0.042596,3.72
Vir 109,3.866988,0.033035,3.72
Cet Zeta,0.486336,-0.180380,3.73
Eri Epsilon,0.929082,-0.165079,3.73
Oph 72,4.744459,0.166921,3.73
Aqr Lambda,5.989163,-0.132291,3.74
Cap Zeta,5.614142,-0.391153,3.74
Tau Xi,0.903950,0.169869,3.74
Aur Zeta,1.319811,0.716909,3.75
Cep Delta,5.886872,1.019539,3.75
Dra Xi,4.684151,0.992617,3.75
Her Gamma,4.284434,0.334284,3.75
Oph Gamma,4.659564,0.047250,3.75
Ara Eta,4.406018,-1.030467,3.76
Dor Beta,1.455714,-1.090651,3.76
Oct Nu,5.678756,-1.350710,3.76
Peg Iota,5.790181,0.442354,3.76
Per Eta,0.744805,0.975561,3.76
Tau Delta1,1.147270,0.306174,3.76
Aqr Epsilon,5.444016,-0.165734,3.77
Cyg Kappa,5.048816,0.931458,3.77
Del Alpha,5.408943,0.277716,3.77
Lac Alpha,5.896122,0.877595,3.77
Per Nu,0.982591,0.743137,3.77
Sgr Omicron,4.994623,-0.379464,3.77
Vol Beta,2.206692,-1.154307,3.77
Vol Gamma2,1.870768,-1.230438,3.78
Cyg 31,5.295467,0.815791,3.79
Cyg Iota2,5.103801,0.902854,3.79
Gem Iota,1.944849,0.485168,3.79
Gem Zeta,1.850522,0.359019,3.79
Her Iota,4.622788,0.802963,3.8
Leo Gamma2,2.705159,0.346283,3.8
Per Kappa,0.826835,0.782906,3.8
Ser Delta,4.078842,0.183914,3.8
Ser Delta,4.078842,0.183943,3.8
UMa Upsilon,2.578680,1.030418,3.8
Hya Mu,2.731833,-0.293850,3.81
Lep Delta,1.532930,-0.364410,3.81
Ori Sigma,1.478061,-0.045379,3.81
And Lambda,6.185294,0.810846,3.82
Eri Upsilon2,1.202314,-0.533411,3.82
Lyn 38,2.438421,0.642325,3.82
Oph Lambda,4.323675,0.034625,3.82
Sge Delta,5.180959,0.323482,3.82
Aps Alpha,3.874020,-1.379591,3.83
Cen Phi,3.657650,-0.734798,3.83
Dra Epsilon,5.184384,1.226404,3.83
Her Omicron,4.745303,0.502000,3.83
LMi 46,2.850610,0.597164,3.83
Per Omicron,0.978773,0.563538,3.83
Aqr Gamma,5.854082,-0.024212,3.84
CrB Gamma,4.113494,0.458944,3.84
Dra Lambda,3.016816,1.210056,3.84
Her 109,4.815792,0.379953,3.84
Tau Theta1,1.171880,0.278593,3.84
CMa Omega,1.897224,-0.467273,3.85
Col Delta,1.667284,-0.583575,3.85
Leo Rho,2.761162,0.162432,3.85
Pic Beta,1.515317,-0.891277,3.85
Ret Beta,0.978257,-1.131095,3.85
Sct Alpha,4.866007,-0.143888,3.85
Ser Gamma,4.173315,0.273348,3.85
TrA Delta,4.256153,-1.111523,3.85
Cen Tau,3.306104,-0.847202,3.86
Her Theta,4.696041,0.650145,3.86
Hor Alpha,1.108291,-0.738177,3.86
Sgr Mu,4.772443,-0.367547,3.86
And Mu,0.247633,0.671942,3.87
CMa Omicron1,1.806990,-0.422088,3.87
Cen Upsilon1,3.659432,-0.781971,3.87
Col Epsilon,1.445184,-0.619078,3.87
Dra Kappa,3.287691,1.218036,3.87
Eri 53,1.213789,-0.249650,3.87
For Alpha,0.838071,-0.505918,3.87
Lup Kappa1,3.979067,-0.850635,3.87
Mus Gamma,3.283255,-1.258959,3.87
Tau 20,0.985355,0.425298,3.87
Hya Theta,2.418874,0.040390,3.88
Leo Mu,2.586418,0.453907,3.88
Phe Epsilon,0.041066,-0.798444,3.88
Sco Rho,4.175198,-0.509883,3.88
Vir Mu,3.853076,-0.098757,3.88
Aps Gamma,4.334743,-1.377016,3.89
Cen Pi,2.971452,-0.951049,3.89
Cyg Eta,5.219873,0.612320,3.89
Eri Eta,0.769814,-0.155300,3.89
Her Tau,4.274922,0.808320,3.89
Vir Eta,3.228452,-0.011640,3.89
Aql Eta,5.203146,0.017550,3.9
Gru Iota,6.066590,-0.789703,3.9
Cen Sigma,3.263940,-0.876689,3.91
Hya Iota,2.530102,-0.019945,3.91
